,date,labor force_Denver,employment_Denver,labor force_Boulder,employment_Boulder,totalLaborForce,totalEmployment
0,2014-01-01 00:00:00,1464739,1375417,174944,166061,1639683,1541478
1,2014-02-01 00:00:00,1471482,1381666,176385,167224,1647867,1548890
2,2014-03-01 00:00:00,1472531,1387011,175526,166989,1648057,1554000
3,2014-04-01 00:00:00,1479494,1401874,175373,167797,1654867,1569671
4,2014-05-01 00:00:00,1483938,1412774,175863,168760,1659801,1581534
5,2014-06-01 00:00:00,1495452,1422939,175140,167663,1670592,1590602
6,2014-07-01 00:00:00,1498483,1429521,175387,168270,1673870,1597791
7,2014-08-01 00:00:00,1495025,1429710,174806,168210,1669831,1597920
8,2014-09-01 00:00:00,1493310,1433019,177195,171214,1670505,1604233
9,2014-10-01 00:00:00,1502265,1443150,178813,172824,1681078,1615974
10,2014-11-01 00:00:00,1492077,1432558,177435,171286,1669512,1603844
11,2014-12-01 00:00:00,1485337,1426231,175666,169838,1661003,1596069
12,2015-01-01 00:00:00,1489892,1421799,176227,169535,1666119,1591334
13,2015-02-01 00:00:00,1491926,1425526,176135,169316,1668061,1594842
14,2015-03-01 00:00:00,1488273,1424078,175544,169175,1663817,1593253
15,2015-04-01 00:00:00,1495512,1438089,175976,170209,1671488,1608298
16,2015-05-01 00:00:00,1505254,1447909,177121,171217,1682375,1619126
17,2015-06-01 00:00:00,1512835,1454113,175996,169875,1688831,1623988
18,2015-07-01 00:00:00,1513906,1459660,175706,170210,1689612,1629870
19,2015-08-01 00:00:00,1514716,1465159,175351,170297,1690067,1635456
20,2015-09-01 00:00:00,1512763,1465114,177450,172813,1690213,1637927
21,2015-10-01 00:00:00,1517943,1470406,178949,174081,1696892,1644487
22,2015-11-01 00:00:00,1511584,1464149,178972,174149,1690556,1638298
23,2015-12-01 00:00:00,1509208,1461733,177061,172347,1686269,1634080
24,2016-01-01 00:00:00,1512026,1459119,178145,172929,1690171,1632048
25,2016-02-01 00:00:00,1521300,1467493,180087,174606,1701387,1642099
26,2016-03-01 00:00:00,1526368,1472362,180434,174942,1706802,1647304
27,2016-04-01 00:00:00,1529178,1479338,180566,175496,1709744,1654834
28,2016-05-01 00:00:00,1533246,1486920,177279,172525,1710525,1659445
29,2016-06-01 00:00:00,1549751,1497170,180933,175409,1730684,1672579
30,2016-07-01 00:00:00,1551731,1503988,179774,174861,1731505,1678849
31,2016-08-01 00:00:00,1551215,1506237,179435,174721,1730650,1680958
32,2016-09-01 00:00:00,1558064,1513765,183273,178901,1741337,1692666
33,2016-10-01 00:00:00,1561722,1519089,182956,178669,1744678,1697758
34,2016-11-01 00:00:00,1553820,1514167,184114,180217,1737934,1694384
35,2016-12-01 00:00:00,1546944,1507045,182589,178685,1729533,1685730
36,2017-01-01 00:00:00,1552683,1505363,180968,176267,1733651,1681630
37,2017-02-01 00:00:00,1563033,1517123,184964,180183,1747997,1697306
38,2017-03-01 00:00:00,1566152,1523938,185793,181503,1751945,1705441
39,2017-04-01 00:00:00,1568352,1529352,186231,182193,1754583,1711545
40,2017-05-01 00:00:00,1578183,1539804,186617,182506,1764800,1722310
41,2017-06-01 00:00:00,1600027,1555022,186055,181196,1786082,1736218
42,2017-07-01 00:00:00,1606332,1563071,186734,182133,1793066,1745204
43,2017-08-01 00:00:00,1606170,1562755,187198,182656,1793368,1745411
44,2017-09-01 00:00:00,1614214,1571315,190292,185863,1804506,1757178
45,2017-10-01 00:00:00,1610520,1567091,188209,183609,1798729,1750700
46,2017-11-01 00:00:00,1612353,1567767,190120,185439,1802473,1753206
47,2017-12-01 00:00:00,1607274,1561361,189048,184248,1796322,1745609
48,2018-01-01 00:00:00,1601985,1550567,185882,180565,1787867,1731132
49,2018-02-01 00:00:00,1625498,1573909,191740,186213,1817238,1760122
50,2018-03-01 00:00:00,1625313,1579947,192425,187566,1817738,1767513
51,2018-04-01 00:00:00,1625764,1585199,192454,188079,1818218,1773278
52,2018-05-01 00:00:00,1633355,1595509,192703,188657,1826058,1784166
53,2018-06-01 00:00:00,1658566,1610890,191082,185900,1849648,1796790
54,2018-07-01 00:00:00,1659292,1610609,191370,186173,1850662,1796782
55,2018-08-01 00:00:00,1648081,1593469,191643,185638,1839724,1779107
56,2018-09-01 00:00:00,1643442,1593774,193988,188629,1837430,1782403
57,2018-10-01 00:00:00,1650347,1600869,195592,190209,1845939,1791078
58,2018-11-01 00:00:00,1648560,1594740,195553,189911,1844113,1784651
59,2018-12-01 00:00:00,1648629,1587640,194860,188507,1843489,1776147
