,date,3.2%_beer,repeal_beer,spiritious_liquors,hard_cider,wine,all_alcohol_sales
0,2014-01-01 00:00:00,379023,8285825,745256,49114,1271371,10730589
1,2014-02-01 00:00:00,297695,7986097,815728,29505,1178519,10307543
2,2014-03-01 00:00:00,212979,5266684,891014,21671,1896136,8288483
3,2014-04-01 00:00:00,432639,11800227,965511,57169,1022223,14277768
4,2014-05-01 00:00:00,346903,8645076,1006886,48052,1594599,11641515
5,2014-06-01 00:00:00,437706,9091681,1198876,59636,1337679,12125578
6,2014-07-01 00:00:00,484321,10828375,904332,66905,1424128,13708061
7,2014-08-01 00:00:00,452079,10201298,928932,71118,1406946,13060373
8,2014-09-01 00:00:00,415127,9392870,938769,80414,1339836,12167016
9,2014-10-01 00:00:00,380558,9155223,1011479,95887,1512008,12155154
10,2014-11-01 00:00:00,270570,7070330,930798,36429,1442437,9750564
11,2014-12-01 00:00:00,400964,9015104,1459903,73929,2021686,12971587
12,2015-01-01 00:00:00,355731,7751701,707609,100481,1122521,10038043
13,2015-02-01 00:00:00,286194,7278901,868220,91098,1351038,9875451
14,2015-03-01 00:00:00,343368,8986372,1055128,118975,1459666,11963508
15,2015-04-01 00:00:00,378089,9077658,959086,117410,1381300,11913542
16,2015-05-01 00:00:00,368859,8960883,959946,116270,1342232,11748190
17,2015-06-01 00:00:00,382859,8779424,1248330,158037,1636958,12205609
18,2015-07-01 00:00:00,484997,10757399,997236,141925,1396396,13777953
19,2015-08-01 00:00:00,458468,10022079,982100,128813,1396019,12987479
20,2015-09-01 00:00:00,392633,10104953,1070773,133589,1435630,13137577
21,2015-10-01 00:00:00,332130,9216823,996246,130284,1502782,12178266
22,2015-11-01 00:00:00,311800,7246493,1032447,102792,1511998,10205530
23,2015-12-01 00:00:00,368179,8814693,1563210,108800,2084373,12939255
24,2016-01-01 00:00:00,291350,7365643,680119,74879,1062735,9474726
25,2016-02-01 00:00:00,293540,8145530,974795,80045,1403788,10897697
26,2016-03-01 00:00:00,345921,9119961,1053457,95885,1576367,12191591
27,2016-04-01 00:00:00,309285,8853321,917277,98514,1351245,11529642
28,2016-05-01 00:00:00,370816,9483835,1087155,119475,1446024,12507305
29,2016-06-01 00:00:00,464258,11841905,1392290,137243,1754790,15590485
30,2016-07-01 00:00:00,450417,9934050,903813,116391,1277157,12681828
31,2016-08-01 00:00:00,459996,11241152,1108418,118816,1581536,14509917
32,2016-09-01 00:00:00,329971,9206213,1043808,95240,1419082,12094315
33,2016-10-01 00:00:00,322142,8853090,982986,91944,1489002,11739164
34,2016-11-01 00:00:00,348757,8869950,1163711,108943,1731315,12222677
35,2016-12-01 00:00:00,348782,8478627,1552862,96374,2069952,12546597
36,2017-01-01 00:00:00,329733,7851281,733857,77896,1146987,10139755
37,2017-02-01 00:00:00,303130,7666467,929497,93776,1482717,10475588
38,2017-03-01 00:00:00,325116,9523081,1154429,105726,1516369,12624722
39,2017-04-01 00:00:00,247202,8702594,945519,95287,1376073,11366674
40,2017-05-01 00:00:00,392409,10292546,1176509,105012,1528132,13494608
41,2017-06-01 00:00:00,487252,11988455,1438590,129625,1708736,15752659
42,2017-07-01 00:00:00,424697,9922952,933813,119660,1336047,12737169
43,2017-08-01 00:00:00,439092,11515626,1203259,110101,1693905,14961983
44,2017-09-01 00:00:00,370601,9572260,1055056,91939,1364559,12454415
45,2017-10-01 00:00:00,342514,8629786,1061033,96452,1599055,11728841
46,2017-11-01 00:00:00,315984,8998576,1198683,95934,1749042,12358220
47,2017-12-01 00:00:00,353665,8586866,1572105,79539,1983162,12575338
48,2018-01-01 00:00:00,312575,7909373,817826,82212,1209841,10331827
49,2018-02-01 00:00:00,260402,7377200,945955,55277,1488187,10127021
50,2018-03-01 00:00:00,295401,8781379,1127897,96834,1462188,11763699
51,2018-04-01 00:00:00,322467,8961434,983583,100490,1366953,11734927
52,2018-05-01 00:00:00,415156,10976429,1280263,128097,1619821,14419766
53,2018-06-01 00:00:00,467840,11673326,1443123,139408,1648142,15371839
54,2018-07-01 00:00:00,464848,10835661,1081737,136425,1457177,13975847
55,2018-08-01 00:00:00,455192,11964801,1265508,129143,1821044,15635689
56,2018-09-01 00:00:00,357540,9542416,1049497,109686,1348294,12407434
57,2018-10-01 00:00:00,357198,9038194,1204850,106255,1662984,12369481
58,2018-11-01 00:00:00,357198,9038194,1204850,106255,1662984,12369481
59,2018-12-01 00:00:00,357198,9038194,1204850,106255,1662984,12369481
