,date,medical_monthly,retail_monthly,total_monthly
0,Jan 2014,32541720.0,14022213.0,46563933.0
1,Feb 2014,31738572.0,14248473.0,45987045.0
2,Mar 2014,34821878.0,19881631.0,54703509.0
3,Apr 2014,32686869.0,20765986.0,53452855.0
4,May 2014,31355208.0,21375001.0,52730209.0
5,Jun 2014,29950309.0,23978082.0,53928391.0
6,Jul 2014,31137623.0,29866792.0,61004415.0
7,Aug 2014,33912226.0,33520608.0,67432834.0
8,Sep 2014,32721238.0,30345357.0,63066595.0
9,Oct 2014,31779216.0,31185985.0,62965201.0
10,Nov 2014,28978462.0,29470126.0,58448588.0
11,Dec 2014,28660719.0,34579445.0,63240164.0
12,Jan 2015,30181833.0,37224033.0,67405866.0
13,Feb 2015,29066073.0,35843189.0,64909262.0
14,Mar 2015,32820548.0,42952626.0,75773174.0
15,Apr 2015,32878517.0,43832944.0,76711461.0
16,May 2015,33609116.0,44590853.0,78199969.0
17,Jun 2015,34552396.0,46460218.0,81012614.0
18,Jul 2015,40611139.0,55315111.0,95926250.0
19,Aug 2015,40819368.0,57679482.0,98498850.0
20,Sep 2015,39991813.0,53639366.0,93631179.0
21,Oct 2015,36742780.0,54467764.0,91210544.0
22,Nov 2015,30770436.0,49453755.0,80224191.0
23,Dec 2015,36010893.0,56077002.0,92087895.0
24,Jan 2016,32860544.0,55896018.0,88756562.0
25,Feb 2016,34019234.0,57045314.0,91064548.0
26,Mar 2016,38116173.0,65121388.0,103237561.0
27,Apr 2016,38294503.0,63841328.0,102135831.0
28,May 2016,37636295.0,63831071.0,101467366.0
29,Jun 2016,38177550.0,67881863.0,106059413.0
30,Jul 2016,40129985.0,81478447.0,121608432.0
31,Aug 2016,41056948.0,84055363.0,125112311.0
32,Sep 2016,39672483.0,86137409.0,125809892.0
33,Oct 2016,35940555.0,80695313.0,116635868.0
34,Nov 2016,34839439.0,74382892.0,109222331.0
35,Dec 2016,34872353.0,81221005.0,116093358.0
36,Jan 2017,31712608.0,76018423.0,107731031.0
37,Feb 2017,31074413.0,75665966.0,106740379.0
38,Mar 2017,37451683.0,92912147.0,130363830.0
39,Apr 2017,38049392.0,86223281.0,124272673.0
40,May 2017,36521894.0,87012525.0,123534419.0
41,Jun 2017,36125578.0,92825639.0,128951217.0
42,Jul 2017,35256994.0,101037453.0,136294447.0
43,Aug 2017,36921075.0,101548082.0,138469157.0
44,Sep 2017,35518033.0,100280636.0,135798669.0
45,Oct 2017,34082247.0,93623919.0,127706166.0
46,Nov 2017,31878468.0,87689309.0,119567777.0
47,Dec 2017,31924397.0,96348057.0,128272454.0
48,Jan 2018,29263308.0,88729914.0,117993222.0
49,Feb 2018,26640302.0,85869215.0,112509517.0
50,Mar 2018,29238678.0,105945278.0,135183956.0
51,Apr 2018,27019073.0,97290806.0,124309879.0
52,May 2018,26225775.0,96642441.0,122868216.0
53,Jun 2018,27096966.0,102426064.0,129523030.0
54,Jul 2018,27239015.0,111296569.0,138535584.0
55,Aug 2018,28323863.0,112998245.0,141322108.0
56,Sep 2018,27897573.0,107638880.0,135536453.0
57,Oct 2018,27919377.0,101305394.0,129224771.0
58,Nov 2018,26062807.0,97877084.0,123939891.0
59,Dec 2018,26062807.0,97877084.0,123939891.0
